#Channel 0: 2000 bins, last bin corresponds to bin 80000 of the original binning.
#Channel 1: 2000 bins, last bin corresponds to bin 40000 of the original binning.
#Data starts below. The rebinning algorithm can result in fractional bin contents.
Bin;Channel 0;Channel 1
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;4;0
18;0;0
19;0;0
20;3;0
21;2;0
22;5;0
23;3;0
24;4;0
25;8;0
26;9;0
27;12;0
28;12;0
29;14;0
30;18;0
31;17;0
32;29;0
33;36;0
34;53;0
35;71;0
36;82;0
37;106;0
38;119;0
39;154;0
40;196;0
41;245;0
42;297;0
43;408;0
44;513;0
45;642;0
46;796;0
47;943;0
48;1154;0
49;1454;0
50;1728;0
51;2091;0
52;2462;0
53;2678;0
54;3033;0
55;3353;0
56;3856;0
57;4016;0
58;4262;0
59;4527;0
60;4908;0
61;5008;0
62;5025;0
63;5241;0
64;5395;0
65;5375;0
66;5394;0
67;5469;0
68;5640;0
69;5500;0
70;5465;0
71;5519;0
72;5541;0
73;5706;0
74;5629;0
75;5623;0
76;5588;0
77;5524;0
78;5564;0
79;5715;0
80;5671;0
81;5824;0
82;5860;0
83;5870;0
84;5822;0
85;5764;0
86;5771;0
87;5728;0
88;5823;0
89;5902;0
90;5807;0
91;5805;0
92;5854;0
93;5839;0
94;5965;0
95;5730;0
96;5786;0
97;5807;0
98;5828;0
99;5853;0
100;5809;0
101;5860;0
102;5753;0
103;5959;0
104;5815;0
105;5892;0
106;5890;0
107;5902;0
108;5775;0
109;5888;0
110;5793;0
111;5780;0
112;5851;0
113;5863;0
114;5914;0
115;5916;0
116;5866;0
117;5986;0
118;6001;0
119;5787;0
120;5922;0
121;5908;0
122;5820;0
123;5710;0
124;5899;0
125;5754;0
126;5840;0
127;5798;0
128;5804;0
129;5999;0
130;5708;0
131;5947;0
132;5848;0
133;5844;0
134;5871;0
135;5729;0
136;5796;0
137;5806;0
138;5705;0
139;5919;0
140;5714;0
141;5733;0
142;5805;0
143;5885;0
144;5658;0
145;5669;0
146;5796;0
147;5851;0
148;5833;0
149;5623;0
150;5716;0
151;5789;0
152;5750;0
153;5682;0
154;5627;0
155;5595;0
156;5685;0
157;5712;0
158;5741;0
159;5678;0
160;5647;0
161;5602;0
162;5726;0
163;5572;0
164;5682;0
165;5618;0
166;5665;0
167;5714;0
168;5701;0
169;5699;0
170;5629;0
171;5643;0
172;5562;0
173;5753;0
174;5658;0
175;5662;0
176;5637;0
177;5451;0
178;5761;0
179;5640;0
180;5570;0
181;5609;0
182;5656;0
183;5547;0
184;5599;0
185;5581;0
186;5578;0
187;5594;0
188;5653;0
189;5683;0
190;5671;0
191;5561;0
192;5577;0
193;5499;0
194;5473;0
195;5529;0
196;5514;0
197;5519;0
198;5456;0
199;5362;0
200;5471;0
201;5336;0
202;5388;0
203;5504;0
204;5419;0
205;5503;0
206;5332;0
207;5445;0
208;5539;0
209;5587;0
210;5459;0
211;5469;0
212;5547;0
213;5487;0
214;5398;0
215;5504;0
216;5434;0
217;5496;0
218;5376;0
219;5405;0
220;5212;0
221;5377;0
222;5395;0
223;5261;0
224;5407;0
225;5497;0
226;5332;0
227;5421;0
228;5383;0
229;5457;0
230;5353;0
231;5375;0
232;5360;0
233;5329;0
234;5390;0
235;5397;0
236;5225;0
237;5416;0
238;5406;0
239;5369;0
240;5295;0
241;5444;0
242;5315;0
243;5254;0
244;5272;0
245;5259;0
246;5321;0
247;5309;0
248;5316;0
249;5258;0
250;5272;0
251;5325;0
252;5187;0
253;5174;0
254;5272;0
255;5230;0
256;5278;0
257;5267;0
258;5187;0
259;5216;0
260;5313;0
261;5233;0
262;5231;0
263;5199;0
264;5365;0
265;5135;0
266;5144;0
267;5181;0
268;5209;0
269;5293;0
270;5163;0
271;5178;0
272;5133;0
273;5219;0
274;5162;0
275;5199;0
276;5230;0
277;5126;0
278;5100;0
279;5127;0
280;5265;0
281;5125;0
282;5239;0
283;5216;0
284;5051;0
285;5280;0
286;5167;0
287;5360;0
288;5125;0
289;5103;0
290;5238;0
291;5077;0
292;5095;0
293;5154;0
294;5161;0
295;5216;0
296;5201;0
297;5163;0
298;5151;0
299;5057;0
300;5166;0
301;5156;0
302;5065;0
303;5091;0
304;5106;0
305;5127;0
306;5165;0
307;5119;0
308;5102;0
309;5141;0
310;5163;0
311;5184;0
312;5090;0
313;5005;0
314;5143;0
315;5084;0
316;5029;0
317;5129;0
318;4994;0
319;5009;0
320;5080;0
321;5057;0
322;5006;0
323;5081;0
324;5076;0
325;4968;0
326;5052;0
327;4920;0
328;5014;0
329;5109;0
330;4978;0
331;4980;0
332;4981;0
333;5086;0
334;5005;0
335;4964;0
336;5125;0
337;5091;0
338;5045;0
339;5079;0
340;4966;0
341;5000;0
342;4984;0
343;5002;0
344;5189;0
345;5067;0
346;5000;0
347;4916;0
348;5050;0
349;4987;0
350;4943;0
351;5044;0
352;5034;0
353;5107;0
354;5030;0
355;5112;0
356;5189;0
357;5005;0
358;5047;0
359;5022;0
360;5067;0
361;4972;0
362;4978;0
363;4922;0
364;5044;0
365;5075;0
366;5199;0
367;5045;0
368;5070;0
369;5009;0
370;5020;0
371;4952;0
372;5131;0
373;5095;0
374;4962;0
375;5061;0
376;5088;0
377;4979;0
378;5100;0
379;5114;0
380;5030;0
381;5005;0
382;5314;0
383;5095;0
384;5110;0
385;5112;0
386;5137;0
387;5217;0
388;5068;0
389;5305;0
390;5231;0
391;5299;0
392;5253;0
393;5260;0
394;5352;0
395;5180;0
396;5251;0
397;5308;0
398;5269;0
399;5475;0
400;5310;0
401;5268;0
402;5504;0
403;5336;0
404;5375;0
405;5526;0
406;5401;0
407;5525;0
408;5371;0
409;5608;0
410;5483;0
411;5580;0
412;5674;0
413;5553;0
414;5682;0
415;5584;0
416;5716;0
417;5691;0
418;5741;0
419;5747;0
420;5777;0
421;5840;0
422;5787;0
423;5760;0
424;5744;0
425;5769;0
426;6045;0
427;5925;0
428;5866;0
429;5978;0
430;6167;0
431;6216;0
432;5996;0
433;6162;0
434;6095;0
435;6126;0
436;6082;0
437;6043;0
438;6290;0
439;6366;0
440;6317;0
441;6293;0
442;6309;0
443;6293;0
444;6372;0
445;6380;0
446;6445;0
447;6379;0
448;6384;0
449;6466;0
450;6634;0
451;6412;0
452;6354;0
453;6527;0
454;6493;0
455;6559;0
456;6705;0
457;6586;0
458;6660;0
459;6469;0
460;6451;0
461;6509;0
462;6501;0
463;6444;0
464;6510;0
465;6519;0
466;6510;0
467;6563;0
468;6438;0
469;6381;0
470;6284;0
471;6333;0
472;6235;0
473;6282;0
474;6405;0
475;6183;0
476;5998;0
477;6169;0
478;6161;0
479;5954;0
480;5959;0
481;5969;0
